BPMX-1 BPMY-1 BPMS-1 BPMA-1 BPMB-1 BPMC-1 BPMD-1 
-2.069903e+00 1.171720e-01 10531604 2.186213e+06 3.118152e+06 2.828881e+06 2.398358e+06 
-2.060907e+00 1.039590e-01 10531327 2.185996e+06 3.113881e+06 2.830035e+06 2.401415e+06 
-2.062380e+00 1.204800e-01 10531694 2.187892e+06 3.117607e+06 2.827001e+06 2.399194e+06 
-2.072826e+00 1.332510e-01 10531188 2.187850e+06 3.121597e+06 2.826163e+06 2.395578e+06 
-2.081087e+00 1.140910e-01 10533167 2.184279e+06 3.119859e+06 2.831738e+06 2.397291e+06 
-2.079538e+00 1.013540e-01 10532089 2.182432e+06 3.116971e+06 2.833507e+06 2.399179e+06 
-2.073540e+00 1.208480e-01 10531303 2.185938e+06 3.119485e+06 2.828575e+06 2.397305e+06 
-2.068846e+00 1.369650e-01 10532528 2.189437e+06 3.121908e+06 2.825299e+06 2.395884e+06 
-2.068614e+00 1.190980e-01 10530979 2.186869e+06 3.117815e+06 2.828441e+06 2.397854e+06 
-2.075041e+00 1.040570e-01 10531255 2.183569e+06 3.116304e+06 2.832223e+06 2.399159e+06 
-2.081477e+00 1.197550e-01 10531425 2.184594e+06 3.120531e+06 2.830210e+06 2.396090e+06 
-2.080880e+00 1.342470e-01 10531270 2.186841e+06 3.122975e+06 2.827482e+06 2.393972e+06 
-2.076372e+00 1.178410e-01 10531393 2.185220e+06 3.119259e+06 2.829784e+06 2.397130e+06 
-2.071949e+00 1.042760e-01 10531674 2.184279e+06 3.115877e+06 2.831869e+06 2.399649e+06 
-2.074121e+00 1.212440e-01 10532227 2.186176e+06 3.119843e+06 2.828930e+06 2.397278e+06 
-2.080291e+00 1.342240e-01 10532314 2.186857e+06 3.123478e+06 2.827375e+06 2.394604e+06 
-2.082230e+00 1.179780e-01 10531703 2.184392e+06 3.120288e+06 2.830858e+06 2.396165e+06 
-2.079559e+00 1.040170e-01 10531659 2.182871e+06 3.117192e+06 2.833050e+06 2.398546e+06 
-2.078366e+00 1.211770e-01 10530796 2.185553e+06 3.119723e+06 2.829639e+06 2.395881e+06 
-2.075391e+00 1.370810e-01 10531526 2.187995e+06 3.122883e+06 2.825912e+06 2.394736e+06 
-2.079453e+00 1.185620e-01 10531643 2.184820e+06 3.120022e+06 2.830176e+06 2.396625e+06 
-2.081864e+00 1.046140e-01 10531497 2.182522e+06 3.117656e+06 2.833253e+06 2.398066e+06 
-2.083000e+00 1.215130e-01 10532327 2.184842e+06 3.121316e+06 2.830436e+06 2.395733e+06 
-2.083557e+00 1.358440e-01 10532516 2.187083e+06 3.123887e+06 2.828155e+06 2.393391e+06 
-2.079396e+00 1.192950e-01 10531152 2.184977e+06 3.119859e+06 2.830043e+06 2.396273e+06 
-2.080671e+00 1.056150e-01 10532257 2.183225e+06 3.117665e+06 2.833281e+06 2.398086e+06 
-2.083390e+00 1.214010e-01 10531668 2.184629e+06 3.121160e+06 2.830348e+06 2.395531e+06 
-2.086788e+00 1.320490e-01 10531558 2.185384e+06 3.123854e+06 2.828710e+06 2.393610e+06 
-2.084186e+00 1.172680e-01 10531438 2.184116e+06 3.120197e+06 2.831443e+06 2.395682e+06 
-2.079946e+00 1.076330e-01 10531184 2.183390e+06 3.117624e+06 2.832477e+06 2.397693e+06 
-2.080989e+00 1.218520e-01 10532247 2.185303e+06 3.120926e+06 2.830119e+06 2.395899e+06 
-2.084047e+00 1.353620e-01 10532101 2.186765e+06 3.123837e+06 2.828132e+06 2.393367e+06 
-2.089778e+00 1.199160e-01 10532092 2.183312e+06 3.122202e+06 2.831648e+06 2.394930e+06 
-2.089569e+00 1.062290e-01 10533675 2.181810e+06 3.119995e+06 2.834681e+06 2.397188e+06 
-2.085224e+00 1.214310e-01 10531869 2.184534e+06 3.121366e+06 2.830859e+06 2.395110e+06 
-2.083306e+00 1.348160e-01 10531140 2.186449e+06 3.123489e+06 2.827693e+06 2.393509e+06 
-2.081314e+00 1.192940e-01 10531647 2.184663e+06 3.120422e+06 2.830391e+06 2.396171e+06 
-2.085000e+00 1.051230e-01 10531615 2.182370e+06 3.118035e+06 2.833973e+06 2.397237e+06 
-2.092715e+00 1.224820e-01 10531714 2.183168e+06 3.123000e+06 2.831603e+06 2.393943e+06 
-2.095012e+00 1.338250e-01 10531440 2.184192e+06 3.125571e+06 2.829633e+06 2.392044e+06 
-2.087537e+00 1.198000e-01 10532337 2.183849e+06 3.121750e+06 2.831501e+06 2.395237e+06 
-2.080242e+00 1.091660e-01 10530456 2.183260e+06 3.117892e+06 2.831895e+06 2.397409e+06 
-2.081675e+00 1.238400e-01 10531522 2.185231e+06 3.121287e+06 2.829574e+06 2.395430e+06 
-2.089980e+00 1.353520e-01 10531286 2.185704e+06 3.124484e+06 2.828977e+06 2.392121e+06 
-2.095225e+00 1.175090e-01 10532333 2.182445e+06 3.122398e+06 2.833381e+06 2.394109e+06 
-2.095833e+00 1.054750e-01 10531611 2.180440e+06 3.120079e+06 2.835492e+06 2.395600e+06 
-2.091086e+00 1.228860e-01 10533292 2.183694e+06 3.123402e+06 2.831557e+06 2.394639e+06 
